series,season,title,subtitle,title_pic,inbound_ill,release,maincharacters,eventtimeframe,locations,release_year,author_pos,author,gender
Band 1067,Die Kosmische Hanse,Am Rand des Nichts,Icho Tolot und Bruke Tosen am Ziel – ein tödlicher Auftrag erwartet sie,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 2. Februar 1982","Icho Tolot, Bruke Tosen, Ahrrhed, Gerrend",425 NGZ,Prototyp eines Kreuzers der STAR-Klasse von Hans Knößlsdorfer(Abbildung),1982.0,a1,H. G. Francis,male
Band 1068,Die Kosmische Hanse,Rückkehr in die Hölle,Menschen in den Höhlen der Methanwelt – die zweite Expedition nach EMschen,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 9. Februar 1982","Perry Rhodan, Nikki Frickel, Gucky, Geoffry Waringer, Mh-Kleinenführer",425 NGZ,EMschen,1982.0,a1,Kurt Mahr,male
Band 1069,Die Kosmische Hanse,Tötet die Terraner!,Seth-Apophis befiehlt – die Materie-Suggestoren sollen gehorchen,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 16. Februar 1982","Sagus-Rhet, Kerma-Jo, Perry Rhodan, Marcello Pantalini, Alfo Kohamer, Gucky",425 NGZ,"Impuls II, M 3",1982.0,a1,H. G. Ewers,male
Band 107,Die Posbis,Das blaue System,Seine Untertanen hassen ihn – und seine Stammväter verachten ihn! Ein neues Atlan-Abenteuer!,Johnny Bruck,Johnny Bruck,"Freitag, 20. September 1963","Atlan, Perry Rhodan, Tama Yokida, Oberst Jefe Claudrin, Auris von Las-Toór, Lempart von Fere-Khar",Dezember 2102,"Arkon, Blaues System",1963.0,a1,K. H. Scheer,male
Band 1070,Die Kosmische Hanse,Gefangene der Materie,Das Versteck der Porleyter – das Geheimnis eines mächtigen Volkes,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 23. Februar 1982","Clynvanth-Oso-Megh, Perry Rhodan, Sagus-Rhet, Kerma-Jo, Geoffry Waringer, Jen Salik",425 NGZ,M 3,1982.0,a1,William Voltz,male
Band 1071,Die Kosmische Hanse,Zwischenstation Orsafal,Porleyter und Menschen – im Bann der Sumpfwelt,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 2. März 1982","Perry Rhodan, Clynvanth-Oso-Megh, Lafsater-Koro-Soth, Fellmer Lloyd, Gucky, Jen Salik",425 NGZ,Orsafal,1982.0,a1,Marianne Sydow,female
Band 1072,Die Kosmische Hanse,Karawane nach Magellan,Spoodies für die Menschheit – ein Danaergeschenk,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 9. März 1982","Atlan, Gesil, Tanwalzen, Anja Pygnell, Sbarvor, Randalf Hume",425 NGZ,"Milchstraße, SOL",1982.0,a1,Ernst Vlcek,male
Band 1073,Die Kosmische Hanse,Das rotierende Nichts,Der Auftrag des Haluters – die Jagd am Rand des Abgrunds,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 16. März 1982","Icho Tolot, Bruke Tosen, Loudershirk, Topue, Prol, Traah",425 NGZ,Frostrubin,1982.0,a1,H. G. Francis,male
Band 1074,Die Kosmische Hanse,Lockruf aus M 3,Entdeckung in der Gruft der Starre – der Mann aus dem 25. Jahrhundert erwacht,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 23. März 1982","Clifton Callamon, Perry Rhodan, Gucky, Nuru Timbon, Cerai Hahn, Alaska Saedelaere, Turghyr-Dano-Kerg",425 NGZ,M 3,1982.0,a1,K. H. Scheer,male
Band 1075,Die Kosmische Hanse,Die Waffe der Porleyter,Mensch gegen Extraterrestier – ein Kampf auf Leben und Tod,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 29. März 1982","Clifton Callamon, Alaska Saedelaere, Gucky, Nuru Timbon, Cerai Hahn, Turghyr-Dano-Kerg, Voire",425 NGZ,Fünf-Planeten-Anlage,1982.0,a1,Marianne Sydow,female
Band 1076,Die Kosmische Hanse,Der Weg der Porleyter,Sie gehen von Bord – und das Chaos beginnt,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 5. April 1982","Perry Rhodan, Clynvanth-Oso-Megh, Gucky, Alaska Saedelaere, Clifton Callamon, Joan Lugarte, Nikki Frickel",425 NGZ,Fünf-Planeten-Anlage,1982.0,a1,Horst Hoffmann,male
Band 1077,Die Kosmische Hanse,Aura des Schreckens,Gefahr für die Menschheit – die RAKAL WOOLVER in fremder Hand,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 12. April 1982","Perry Rhodan, Geiko Alkmann, Clifton Callamon, Carfesch, Vejlo Thesst, Verena Averre, Herkam Myrek, Lafsater-Koro-Soth",425 NGZ,Fünf-Planeten-Anlage,1982.0,a1,Detlev G. Winter,male
Band 1078,Die Kosmische Hanse,Die Seth-Apophis-Brigade,Begegnung nach Jahrhunderten – und Angriff auf zwei Fronten,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 19. April 1982","Atlan, Perry Rhodan, Gucky, Gesil, Tanwalzen, Lafsater-Koro-Soth, Lynn Restrom",425 NGZ,Milchstraße,1982.0,a1,Kurt Mahr,male
Band 1079,Die Kosmische Hanse,Station der Freien,Der Haluter in Not – das ultimate Wesen taucht wieder auf,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 26. April 1982","Icho Tolot, Naggencarphon, Xambeskary, Karrsedh, Auerspor",September - Oktober 425 NGZ,bei TRIICLE-9,1982.0,a1,H. G. Francis,male
Band 108,Die Posbis,Die Wüste des Todes,So gut wie tot! – Agenten der Abteilung III auf den Spuren der Antis!,Johnny Bruck,Johnny Bruck,"Freitag, 27. September 1963","Dr. Armin Zuglert, Major Kindsom, Major Ron Landry, Captain Larry Randall, Oberst Nike Quinto, Gerard Lobson, Edmond Hugher",Februar 2103,Lepso,1963.0,a1,Kurt Mahr,male
Band 1080,Die Kosmische Hanse,Das Ende eines Experiments,Quiupus Triumph – die Beauftragten der Kosmokraten erscheinen,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 3. Mai 1982","Quiupu, Whargor, Srimavo, Jakob Ellmer, Galbraith Deighton, Kirt Dorell-Ehkesh",September - Oktober 425 NGZ,Milchstraße,1982.0,a1,Horst Hoffmann,male
Band 1081,Die Kosmische Hanse,Die Unbesiegbaren,Terra in fremder Hand – Porleyter an den Schaltstellen der Macht,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 10. Mai 1982","Perry Rhodan, Reginald Bull, Clifton Callamon, Lafsater-Koro-Soth, Sagus-Rhet, Kerma-Jo, Jillan Taoming",September 425 NGZ,Milchstraße,1982.0,a1,H. G. Ewers,male
Band 1082,Die Kosmische Hanse,Transmitter nach Nirgendwo,Der Kampf im Untergrund entbrennt – die Tigerbande macht von sich reden,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 17. Mai 1982","Perry Rhodan, Gesil, Clifton Callamon, Lafsater-Koro-Soth, Kitsaiman, Siska Taoming",September - Oktober 425 NGZ,Solsystem,1982.0,a1,H. G. Ewers,male
Band 1083,Die Kosmische Hanse,Der Kometenmann,Brennpunkt Aralon – 800 Spezialisten im Risikoeinsatz,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 24. Mai 1982","Clifton Callamon, Gucky, Tyrmen-Kana-Rorg, Lostor-Jygo-Zort, Lafsater-Koro-Soth, Perry Rhodan, Betron Beypur",14. - 25. Oktober 425 NGZ,Kesnar,1982.0,a1,K. H. Scheer,male
Band 1084,Die Kosmische Hanse,Operation Kardec-Schild,Die ultimate Waffe im Test – auf einem Geheimstützpunkt der Hanse,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 1. Juni 1982","Clifton Callamon, Brick Entel, Atlan, Gesil, Srimavo, Guty Cardenas",27. Oktober - 11. November 425 NGZ,"Solsystem, Geidnerd",1982.0,a1,Kurt Mahr,male
Band 1085,Die Kosmische Hanse,Der Symbionten-Träger,Quiupus Entdeckung – Jagd auf den Mann mit dem Supervirus,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 8. Juni 1982","Quiupu, Perry Rhodan, Tyko Valensen, Jupor Pleharisch, Gucky",Anfang November - 18. November 425 NGZ,Terra,1982.0,a1,Horst Hoffmann,male
Band 1086,Die Kosmische Hanse,Solaner-Jagd,Brennpunkt Garnaru – Atlan in der Gewalt von Fremden,Johnny Bruck,Alfred Kelsner (2 x),Juni 1982,"Atlan, Kerk Gaddic, Johnson Madeira, Roark-Kher, Aghym von Mag-Whort, Perry Rhodan, Belt Stardolini",Mitte November 425 NGZ,Terra,1982.0,a1,William Voltz,male
Band 1087,Die Kosmische Hanse,Wolke im All,Alarm in der BASIS – die Staubmenschen schlagen zu,Johnny Bruck,Alfred Kelsner (2 x),Juli 1982,"Waylon Javier, Oliver, Les Zeron, Mehldau Sarko, Janine Hare, Henry Horth, Moribunth",425 NGZ,Norgan-Tur,1982.0,a1,Marianne Sydow,female
Band 1088,Die Kosmische Hanse,Der ewige Krieger,Der Schreckliche wird aktiviert – und gerät außer Kontrolle,Johnny Bruck,Alfred Kelsner (2 x),Juli 1982,"Waylon Javier, Lethos-Terakdschan, Roi Danton, Demeter, Beezan, Cosino",425 NGZ,Norgan-Tur,1982.0,a1,Ernst Vlcek,male
Band 1089,Die Kosmische Hanse,Die Psi-Antenne,Unter Rebellen am Rand des rotierenden Nichts – ein Icho-Tolot-Abenteuer,Johnny Bruck,Alfred Kelsner (2 x),Juli 1982,"Icho Tolot, Auerspor, Jarokan, Pyrsson, Echynlag, Borkays, Gkor",425 NGZ,"TRAAYM, XERPHON, Frostrubin",1982.0,a1,H. G. Francis,male
Band 109,Die Posbis,Der Blockadering um Lepso,Die Flotte kommt – und die Frachter des Todes erhalten Startverbot …,Johnny Bruck,Johnny Bruck,"Freitag, 4. Oktober 1963","Dr. Edmond Hugher, Perry Rhodan, Jefe Claudrin, Gucky, Gal-Tam, Tu-poä",März 2103,Lepso,1963.0,a1,Kurt Brand,male
Band 1090,Die Kosmische Hanse,Der Kardec-Kreis,Gefahr für die Ritter der Tiefe – ein Ultimatum läuft ab,Johnny Bruck,Alfred Kelsner (2 x),Juli 1982,"Atlan, Perry Rhodan, Jen Salik, Lafsater-Koro-Soth, Quiupu, Gesil, Ngaju",425 NGZ,Terra,1982.0,a1,Kurt Mahr,male
Band 1091,Die Kosmische Hanse,Sperrgebiet Hyperraum,Ein Porleyter übt Vergeltung – das Ende der Raumfahrt droht,Johnny Bruck,Alfred Kelsner (2 x),Juli 1982,"Perry Rhodan, Kitsaiman, Pratt Montmanor, Clifton Callamon, Lafsater-Koro-Soth",Dezember 425 NGZ,Milchstraße,1982.0,a1,H. G. Ewers,male
Band 1092,Die Kosmische Hanse,Aktion Transmitternetz,Stille im Hyperraum – ein Erbe der Vergangenheit wird aktiviert,Johnny Bruck,Alfred Kelsner (2 x),August 1982,"Perry Rhodan, Sponsera Kaboff, Kitsaiman, Gesil, Lafsater-Koro-Soth",Dezember 425 NGZ - Januar 426 NGZ,Milchstraße,1982.0,a1,H. G. Ewers,male
Band 1093,Die Kosmische Hanse,Testwelt Cheyraz,Ein Wissenschaftler im Mittelpunkt – beim Duell der Superwaffen,Johnny Bruck,Alfred Kelsner (2 x),August 1982,"Josuar Gandaro, Pert Laagmer, Nego Snaavaj, Pierre Cairanne, Silvia Ghass, Perry Rhodan, Danymu-Nedo-Valg, Prudase-Pene-Sarth",Januar 426 NGZ,Milchstraße,1982.0,a1,Detlev G. Winter,male
Band 1094,Die Kosmische Hanse,Der Mann aus Haiti,Er fühlt sich auserwählt – er verbreitet die Botschaft des STAC,Johnny Bruck,Alfred Kelsner (2 x),August 1982,"Eric Weidenburn, Eartha Weidenburn, Henri Vaudau, Dunka Rabanez, Gideon McVistor",Januar 426 NGZ,Milchstraße,1982.0,a1,H. G. Ewers,male
Band 1095,Die Kosmische Hanse,Das Ende eines Porleyters,Die BASIS kehrt zurück – zum Treffpunkt Wega,Johnny Bruck,Alfred Kelsner (2 x),August 1982,"Jan Bellmer, Waylon Javier, Lethos-Terakdschan, Lafsater-Koro-Soth, Wikora-Nono-Ors, Livwaper-Irtu-Lings, Perry Rhodan",Januar 426 NGZ,Milchstraße,1982.0,a1,Ernst Vlcek,male
Band 1096,Die Kosmische Hanse,Der Ring der Kosmokraten,Auf Schatzsuche im Duurdefil – die Ritter der Tiefe begegnen dem Wächterzwilling,Johnny Bruck,Alfred Kelsner (2 x),September 1982,"Perry Rhodan, Jen Salik, Tengri Lethos-Terakdschan, Okoor, Mokus-Arto-Ehm, Brodr, Chrykr, Hrkl",31. Januar - 14. Februar 426 NGZ,"Milchstraße, Frostrubin",1982.0,a1,Marianne Sydow,female
Band 1097,Die Kosmische Hanse,Begegnung in der Unendlichkeit,Das Ende der Rebellen – ein Icho-Tolot-Abenteuer,Johnny Bruck,Alfred Kelsner (2 x),September 1982,"Icho Tolot, Kirsch, Girrhod, Borkays, Jarokan, Andrej Sokonic, Beverly Freden, Auerspor, Loudershirk","Januar, Februar 426 NGZ","BASIS, Loudershirk-Station",1982.0,a1,H. G. Francis,male
Band 1098,Die Kosmische Hanse,Der steinerne Bote,Mit der BASIS im Vorfeld des Frostrubins,Johnny Bruck,Alfred Kelsner (2 x),September 1982,"Julian Tifflor, Reginald Bull, Icho Tolot, Perry Rhodan, Waylon Javier, Tedr Kosmas",Februar - März 426 NGZ,Frostrubin,1982.0,a1,Kurt Mahr,male
Band 1099,Die Kosmische Hanse,Das Kollektiv der Porleyter,Ihre Aura bedroht Terrania – ihre Verzweiflung ist grenzenlos,Johnny Bruck,Alfred Kelsner (2 x),September 1982,"Atlan, Sühe Baator, Lafsater-Koro-Soth, Qumran-Fayed-Pogh, Wikora-Nono-Ors, Perry Rhodan",März 426 NGZ,Solsystem,1982.0,a1,Kurt Mahr,male
Band 11,Die Dritte Macht,Mutanten im Einsatz,Die GOOD HOPE ist nur noch ein Wrack. Wie können sie jemals zur Erde zurückkehren?,Johnny Bruck,Johnny Bruck (6 x),"Freitag, 17. November 1961","Perry Rhodan, Reginald Bull, Tako Kakuta, Betty Toufry, Ralf Marten, Wuriu Sengu, Kekéler, Chrekt-Orn, Trker-Hon",Juni 1975,"Ferrol, Wega",1961.0,a1,Kurt Mahr,male
Band 110,Die Posbis,Auf den Spuren der Antis,Die Saat des Verderbens trägt Früchte – Millionen Menschen sind rettungslos verloren …,Johnny Bruck,Johnny Bruck,"Freitag, 11. Oktober 1963","Henry Mulvaney, Perry Rhodan, Reginald Bull, John Clayton, Sergeant John Emery, Thomas Cardif",März 2103,"Okúl, Terra",1963.0,a1,William Voltz,male
Band 1100,Die Endlose Armada,Der Frostrubin,Die Endlose Armada erscheint,Johnny Bruck,Alfred Kelsner (2 x),21. September 1982,"Jercygehl An, Taurec, Perry Rhodan, Surfo Mallagan, Quiupu, Arlen Hydon",März - April 426 NGZ,"Endlose Armada, Frostrubin, Norgan-Tur, Milchstraße",1982.0,a1,William Voltz,male
Band 1101,Die Endlose Armada,Erkundung gegen Unbekannt,Mit der SODOM gegen die Endlose Armada – ein Risikoeinsatz mit Clifton Callamon,Johnny Bruck,Alfred Kelsner (2 x),Oktober 1982,"Maldarel Foq, Jercygehl An, Clifton Callamon, Alaska Saedelaere, Agusto Pinelli",März - April 426 NGZ,Endlose Armada,1982.0,a1,K. H. Scheer,male
Band 1102,Die Endlose Armada,Der letzte Mirvaner,Spähtrupp der Teleporter – zum Wrack im Weltraum,Johnny Bruck,Alfred Kelsner (2 x),Oktober 1982,"Perry Rhodan, Gucky, Ras Tschubai, Fellmer Lloyd, Jainchuchuman, Wech-Wech-Frogrout",6. - 11. April 426 NGZ,Endlose Armada,1982.0,a1,Clark Darlton,male
Band 1103,Die Endlose Armada,Außenseiter der Armada,Er lebt wie ein Geächteter – er ist ein Pseudoarmadist,Johnny Bruck,Alfred Kelsner (2 x),Oktober 1982,"Öhna Näjahrs, Ürkan, Farslyina, Tanwalzen, Icho Tolot, Jercygehl An","März, April 426 NGZ",Endlose Armada,1982.0,a1,Detlev G. Winter,male
Band 1104,Die Endlose Armada,Meuterei im All,Er ist ein blinder Passagier – er lähmt die Galaktische Flotte,Johnny Bruck,Alfred Kelsner (2 x),Oktober 1982,"Perry Rhodan, Eric Weidenburn, Taurec, Oliver Javier, Jercygehl An, Brodr",April 426 NGZ,Endlose Armada,1982.0,a1,H. G. Ewers,male
Band 1105,Die Endlose Armada,Das Siegelschiff,Ein Mann in den Tiefen der Armada – seine Bestimmung läßt ihn nicht los,Johnny Bruck,Alfred Kelsner (2 x),November 1982,"Eric Weidenburn, Jercygehl An, Elf-Quo-Jo, Neun-Quo-Sin, Neun-Quo-Ben, Chra-Hu-Chro",April 426 NGZ,Endlose Armada,1982.0,a1,H. G. Ewers,male
Band 1106,Die Endlose Armada,Die Trümmerreiter,Sie versuchen die Flucht – aus dem Einschließungsring der Armada,Johnny Bruck,Alfred Kelsner (2 x),November 1982,"Tarzarel Op, Überzahl-143, Perry Rhodan, Nikki Frickel, Ras Tschubai, Ilkst Nentter",April - Mai 426 NGZ,Endlose Armada,1982.0,a1,Kurt Mahr,male
Band 1107,Die Endlose Armada,Jenseits der tödlichen Grenze,Sie haben keine Wahl – sie wagen die Flucht ins Nichts,Johnny Bruck,Alfred Kelsner (2 x),November 1982,"Perry Rhodan, Eric Weidenburn, Taurec, Jercygehl An, Bruke Tosen",Mai 426 NGZ,Endlose Armada,1982.0,a1,Kurt Mahr,male
Band 1108,Die Endlose Armada,Sturz aus dem Frostrubin,Sie erreichen M 82 – und werden Gefangene des Black Hole,Johnny Bruck,Alfred Kelsner (2 x),November 1982,"Perry Rhodan, Alaska Saedelaere, Jercygehl An, Surfo Mallagan, Seth-Apophis",Mai 426 NGZ,M 82,1982.0,a1,William Voltz,male
Band 1109,Die Endlose Armada,Die Stunde der Krieger,Notruf der Unaussprechlichen – eine Armadaeinheit im Chaos,Johnny Bruck,Alfred Kelsner (2 x),Dezember 1982,"Perry Rhodan, Jercygehl An, Chrubchur, Chrachrsar, Dex Rudbeck",Mai 426 NGZ,M 82,1982.0,a1,Marianne Sydow,female
Band 111,Die Posbis,Unter falscher Flagge,Auf Okul lauert die Falle – der Köder ist das Leben von Millionen Menschen …,Johnny Bruck,Johnny Bruck,"Freitag, 18. Oktober 1963","Perry Rhodan, Thomas Cardif, Reginald Bull, Sir John Rengall, Rhobal",April 2103,"Okúl, Terra",1963.0,a1,Clark Darlton,male
Band 1110,Die Endlose Armada,Operatoren für Kruste Magno,Sie sind Gefangene – ihr Raumschiff existiert nicht mehr,Johnny Bruck,Alfred Kelsner (2 x),Dezember 1982,"Perry Rhodan, Taurec, Jercygehl An, Krendgh Hahl, Bozar Fungur, Ercy Barrang",Mai 426 NGZ,"M 82, Kruste Magno",1982.0,a1,Ernst Vlcek,male
Band 1111,Die Endlose Armada,Die Macht der Elf,Begegnung in M 82 – Gucky wird zum Chaosmacher,Johnny Bruck,Alfred Kelsner (2 x),Dezember 1982,"Perry Rhodan, Gucky, Les Zeron, Ok Müppelheimer, Zock-Dreilicht, Hakn, Clda",Juni 426 NGZ,M 82,1982.0,a1,Horst Hoffmann,male
Band 1112,Die Endlose Armada,Der Silberne,Terraner auf Roboterjagd – im Auftrag der Fremden,Johnny Bruck,Alfred Kelsner (2 x),Dezember 1982,"Arker Kwohn, Milton Lucas, Henry Cima, Matt Durante, Bort Popp, Perry Rhodan, Gucky, Schovkrodon",Mai - Juni 426 NGZ,M 82,1982.0,a1,H. G. Francis,male
Band 1113,Die Endlose Armada,Die Station des Silbernen,200 Terraner auf PROXKON – in der Falle des Armadaschmieds,Johnny Bruck,Alfred Kelsner (2 x),Dezember 1982,"Perry Rhodan, Schovkrodon, Gucky, Ras Tschubai, Genan, Arker Kwohn",Juni 426 NGZ,M 82 auf der PROXKON,1982.0,a1,H. G. Francis,male
Band 1114,Die Endlose Armada,Der Fluch der Kosmokratin,Sie bauen das neue Viren-Imperium – und das Böse erwacht,Johnny Bruck,Alfred Kelsner (2 x),Januar 1983,"Belice, Geredus, Quiupu, Rag Cornus, Sapr Vistoy, Lissa Montelf",Januar - März 426 NGZ,Srakenduurn,1983.0,a1,Kurt Mahr,male
Band 1115,Die Endlose Armada,Bote des Unsterblichen,Warnung aus dem Kosmos – Ernst Ellert taucht wieder auf,Johnny Bruck,Alfred Kelsner (2 x),Januar 1983,"ES, Ernst Ellert, Merg Coolafe, Yamisch Coolafe, Dave Woddle, W. W. Voltas",Juni - Juli 426 NGZ,"EDEN II, Lepso, Terra",1983.0,a1,Clark Darlton,male
Band 1116,Die Endlose Armada,Projekt Zweiterde,Sie sollen eine Projektion erschaffen – zur Rettung Terras,Johnny Bruck,Alfred Kelsner (2 x),Januar 1983,"Reginald Bull, Julian Tifflor, Ernst Ellert, Merg Coolafe, Geoffry Abel Waringer, Matthew Creek, Earl Hartog, Marge Flinders, Duty Phibb",Juli 426 NGZ,Terra,1983.0,a1,H. G. Ewers,male
Band 1117,Die Endlose Armada,Das Gedankenmonster,Menschen haben es geschaffen – seine Unvollkommenheit erzeugt das Chaos,Johnny Bruck,Alfred Kelsner (2 x),Januar 1983,"Ernst Ellert, Merg Coolafe, Yamisch Coolafe, Reginald Bull, Julian Tifflor, Geoffry Abel Waringer, Homer G. Adams",25. - 31. Juli 426 NGZ,Terra,1983.0,a1,H. G. Ewers,male
Band 1118,Die Endlose Armada,Der Admiral und der Silberne,Der Fall Schneewittchen – Clifton Callamon in Not,Johnny Bruck,Alfred Kelsner (2 x),Februar 1983,"Clifton Callamon, Haff, Agusto Pinelli, Beta Fu-Wang, Noschenhew, Pedel R Manes, Perry Rhodan",Juni - August 426 NGZ,M 82,1983.0,a1,K. H. Scheer,male
Band 1119,Die Endlose Armada,Gestrandet unter blauer Sonne,Raumfahrer in Not – im Kampf mit Barbaren,Johnny Bruck,Alfred Kelsner (2 x),Februar 1983,"Perry Rhodan, Roi Danton, Maris Zara, Gelja Dan, Barun, Marr'Gollg",August 426 NGZ,M 82,1983.0,a1,Hans Kneifel,male
Band 112,Die Posbis,Der Mann mit den zwei Gesichtern,Das Wesen von Wanderer amüsiert sich – und verschenkt 21fache Ewigkeit …,Johnny Bruck,Johnny Bruck,"Freitag, 25. Oktober 1963","Thomas Cardif, Reginald Bull, Allan D. Mercant, A-thól, Brazo Alkher, Stana Nolinow, „Er“ oder „Es“, Rhobal",Juli 2103,"Terra, Pluto, Wanderer, I-09, IRONDUKE, BÁA-LO",1963.0,a1,Kurt Brand,male
Band 1120,Die Endlose Armada,Geschäfte mit dem Tod,Der Plan der Armadaschmiede – Rhodan soll ihre Marionette werden,Johnny Bruck,Alfred Kelsner (1 x),Februar 1983,"Perry Rhodan, Gucky, Alaska Saedelaere, Verkutzon, Nchur, Phobe Sam",August 426 NGZ,M 82,1983.0,a1,William Voltz,male
Band 1121,Die Endlose Armada,Der Sonnenhammer,Chaos auf BASIS-ONE – die Armadaschmiede machen ihre Drohung wahr,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 15. Februar 1983","Perry Rhodan, Gesil, French Sringar, Nadu Najeeb, Jani Nikko, Bom Gerard, Gucky, Ras Tschubai",August - September 426 NGZ,BASIS-ONE,1983.0,a1,Kurt Mahr,male
Band 1122,Die Endlose Armada,Raubzug der Armadaschmiede,Die Habgier der Silbernen verwüstet eine Welt,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 22. Februar 1983","Roi Danton, Naomi Phars, Brado „Flash“ Gordon, Fedder Napsus, Sidri, Vlissi, Warckewn, Drajdoog",August - September 426 NGZ,Nand,1983.0,a1,Kurt Mahr,male
Band 1123,Die Endlose Armada,Brutstätte der Synchroniten,Sie sind Seelenlose – sie entstehen im Synchrodrom,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 1. März 1983","Verkutzon, Schovkrodon, Dam-Krasseur, Perry Rhodan, Vulambar, Curovar",September 426 NGZ,"MURKCHAVOR, BASIS-ONE",1983.0,a1,Ernst Vlcek,male
Band 1124,Die Endlose Armada,Das Armadafloß,Menschen und Außerirdische – in der Gewalt des Flößers,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 8. März 1983","Crduun, Herold, Enklich Fain, Dameniszer, Ankbhor-Vuul, Bastler, Perry Rhodan",September 426 NGZ,"STOWMEXE, BASIS-ONE",1983.0,a1,Thomas Ziegler,male
Band 1125,Die Endlose Armada,Einsatzkommando Synchrodrom,Der Weg zur Brutstätte der Klons – Terraner greifen an,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 15. März 1983","Verkutzon, Schovkrodon, Perry Rhodan, Track Alliance, Julio Vasca, Ter-Konnate",September - Oktober 426 NGZ,Synchrodrom,1983.0,a1,H. G. Francis,male
